token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
51260,NIFTY17JUN2113700CE,NIFTY,17JUN2021,1370000.000000,75,OPTIDX,NFO,5.000000
39376,NIFTY08JUL2114250CE,NIFTY,08JUL2021,1425000.000000,75,OPTIDX,NFO,5.000000
40990,NIFTY30SEP2118500CE,NIFTY,30SEP2021,1850000.000000,75,OPTIDX,NFO,5.000000
51930,NIFTY26AUG2114000PE,NIFTY,26AUG2021,1400000.000000,50,OPTIDX,NFO,5.000000
51364,NIFTY31MAR2214000PE,NIFTY,31MAR2022,1400000.000000,75,OPTIDX,NFO,5.000000
47559,NIFTY10JUN2113450PE,NIFTY,10JUN2021,1345000.000000,75,OPTIDX,NFO,5.000000
39668,NIFTY27JUN2416000PE,NIFTY,27JUN2024,1600000.000000,75,OPTIDX,NFO,5.000000
49101,NIFTY17JUN2112950CE,NIFTY,17JUN2021,1295000.000000,75,OPTIDX,NFO,5.000000
39397,NIFTY22JUL2117200PE,NIFTY,22JUL2021,1720000.000000,75,OPTIDX,NFO,5.000000
36891,NIFTY24JUN2116100PE,NIFTY,24JUN2021,1610000.000000,75,OPTIDX,NFO,5.000000
51342,NIFTY24JUN2115450PE,NIFTY,24JUN2021,1545000.000000,75,OPTIDX,NFO,5.000000
52829,NIFTY26AUG2116400PE,NIFTY,26AUG2021,1640000.000000,50,OPTIDX,NFO,5.000000
53817,NIFTY29JUL2113450CE,NIFTY,29JUL2021,1345000.000000,50,OPTIDX,NFO,5.000000
41019,NIFTY27JUN2418500PE,NIFTY,27JUN2024,1850000.000000,75,OPTIDX,NFO,5.000000
47808,NIFTY10JUN2115950PE,NIFTY,10JUN2021,1595000.000000,75,OPTIDX,NFO,5.000000
39423,NIFTY08JUL2114700CE,NIFTY,08JUL2021,1470000.000000,75,OPTIDX,NFO,5.000000
51431,NIFTY17JUN2115350PE,NIFTY,17JUN2021,1535000.000000,75,OPTIDX,NFO,5.000000
53979,NIFTY29JUL2116200CE,NIFTY,29JUL2021,1620000.000000,50,OPTIDX,NFO,5.000000
44389,NIFTY15JUL2116400CE,NIFTY,15JUL2021,1640000.000000,75,OPTIDX,NFO,5.000000
51442,NIFTY17JUN2115600PE,NIFTY,17JUN2021,1560000.000000,75,OPTIDX,NFO,5.000000
35369,NIFTY30JUN2216500CE,NIFTY,30JUN2022,1650000.000000,75,OPTIDX,NFO,5.000000
51309,NIFTY24JUN2114700CE,NIFTY,24JUN2021,1470000.000000,75,OPTIDX,NFO,5.000000
49342,NIFTY29JUL2116800PE,NIFTY,29JUL2021,1680000.000000,50,OPTIDX,NFO,5.000000
45991,NIFTY24JUN2110100PE,NIFTY,24JUN2021,1010000.000000,75,OPTIDX,NFO,5.000000
43958,NIFTY01JUL2116000PE,NIFTY,01JUL2021,1600000.000000,75,OPTIDX,NFO,5.000000
52515,NIFTY01JUL2115300PE,NIFTY,01JUL2021,1530000.000000,75,OPTIDX,NFO,5.000000
60208,NIFTY29DEC227500PE,NIFTY,29DEC2022,750000.000000,75,OPTIDX,NFO,5.000000
39378,NIFTY08JUL2114300CE,NIFTY,08JUL2021,1430000.000000,75,OPTIDX,NFO,5.000000
51937,NIFTY26AUG2114100CE,NIFTY,26AUG2021,1410000.000000,50,OPTIDX,NFO,5.000000
39377,NIFTY08JUL2114250PE,NIFTY,08JUL2021,1425000.000000,75,OPTIDX,NFO,5.000000
53940,NIFTY29JUL2115800PE,NIFTY,29JUL2021,1580000.000000,50,OPTIDX,NFO,5.000000
48788,NIFTY30SEP2113000PE,NIFTY,30SEP2021,1300000.000000,75,OPTIDX,NFO,5.000000
40981,NIFTY30DEC2112200PE,NIFTY,30DEC2021,1220000.000000,75,OPTIDX,NFO,5.000000
40972,NIFTY08JUL2117250CE,NIFTY,08JUL2021,1725000.000000,75,OPTIDX,NFO,5.000000
51312,NIFTY24JUN2114750PE,NIFTY,24JUN2021,1475000.000000,75,OPTIDX,NFO,5.000000
36897,NIFTY24JUN2116250CE,NIFTY,24JUN2021,1625000.000000,75,OPTIDX,NFO,5.000000
41226,NIFTY08JUL2116450PE,NIFTY,08JUL2021,1645000.000000,75,OPTIDX,NFO,5.000000
51902,NIFTY15JUL2116850PE,NIFTY,15JUL2021,1685000.000000,75,OPTIDX,NFO,5.000000
53819,NIFTY29JUL2113500CE,NIFTY,29JUL2021,1350000.000000,50,OPTIDX,NFO,5.000000
39387,NIFTY15JUL2117200PE,NIFTY,15JUL2021,1720000.000000,75,OPTIDX,NFO,5.000000
37989,NIFTY24JUN2111700CE,NIFTY,24JUN2021,1170000.000000,75,OPTIDX,NFO,5.000000
51467,NIFTY17JUN2116000PE,NIFTY,17JUN2021,1600000.000000,75,OPTIDX,NFO,5.000000
53920,NIFTY29JUL2115450CE,NIFTY,29JUL2021,1545000.000000,50,OPTIDX,NFO,5.000000
45997,NIFTY24JUN2110300PE,NIFTY,24JUN2021,1030000.000000,75,OPTIDX,NFO,5.000000
50967,NIFTY30JUN2211600PE,NIFTY,30JUN2022,1160000.000000,75,OPTIDX,NFO,5.000000
52616,NIFTY26AUG2115450CE,NIFTY,26AUG2021,1545000.000000,50,OPTIDX,NFO,5.000000
39757,NIFTY05AUG2117000PE,NIFTY,05AUG2021,1700000.000000,50,OPTIDX,NFO,5.000000
39449,NIFTY08JUL2114950PE,NIFTY,08JUL2021,1495000.000000,75,OPTIDX,NFO,5.000000
51380,NIFTY17JUN2114150PE,NIFTY,17JUN2021,1415000.000000,75,OPTIDX,NFO,5.000000
53878,NIFTY29JUL2114600PE,NIFTY,29JUL2021,1460000.000000,50,OPTIDX,NFO,5.000000
43676,NIFTY26DEC2413000CE,NIFTY,26DEC2024,1300000.000000,75,OPTIDX,NFO,5.000000
41022,NIFTY26JUN2518500CE,NIFTY,26JUN2025,1850000.000000,75,OPTIDX,NFO,5.000000
52502,NIFTY01JUL2115000CE,NIFTY,01JUL2021,1500000.000000,75,OPTIDX,NFO,5.000000
52650,NIFTY26AUG2115650PE,NIFTY,26AUG2021,1565000.000000,50,OPTIDX,NFO,5.000000
47324,NIFTY22JUL2113400CE,NIFTY,22JUL2021,1340000.000000,75,OPTIDX,NFO,5.000000
53844,NIFTY29JUL2114000CE,NIFTY,29JUL2021,1400000.000000,50,OPTIDX,NFO,5.000000
39496,NIFTY08JUL2115750PE,NIFTY,08JUL2021,1575000.000000,75,OPTIDX,NFO,5.000000
45608,NIFTY30JUN2215500PE,NIFTY,30JUN2022,1550000.000000,75,OPTIDX,NFO,5.000000
39623,NIFTY30SEP2116000CE,NIFTY,30SEP2021,1600000.000000,75,OPTIDX,NFO,5.000000
53887,NIFTY29JUL2114800PE,NIFTY,29JUL2021,1480000.000000,50,OPTIDX,NFO,5.000000
